repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
ontodev/robot,101,131,143,1850,https://github.com/ontodev/robot.git,7716a48dbc8654391e98126901bd7623671d3132,master,99.26766416909635
baremaps/baremaps,101,131,116,1215,https://github.com/baremaps/baremaps.git,020340b9fba0f4162c708e6e48367b1b2d0e7b9b,main,99.207882845889
twitter/hraven,101,127,133,338,https://github.com/twitter/hraven.git,e35996b6e2f016bcd18db0bad320be7c93d95208,master,93.89283883770749
ops4j/org.ops4j.pax.web,101,127,603,3405,https://github.com/ops4j/org.ops4j.pax.web.git,aecbb995ac8d1a89c61aec5520c88bcb17a9aad6,main,99.92101195996935
openpreserve/jhove,101,122,153,1505,https://github.com/openpreserve/jhove.git,bd9b37f0dd10ff2a5f07c1be6cbf345931365447,master,93.95004243672476
wikimedia/wikidata-query-rdf,101,119,527,1425,https://github.com/wikimedia/wikidata-query-rdf.git,5954cbdbd74f1ff319bc919ce22baa743406537a,master,82.73690627991041
bernardosulzbach/dungeon,101,119,193,1133,https://github.com/bernardosulzbach/dungeon.git,3d372534e93defd0b71df3646e439fd18f99a24e,master,99.04416464960605
apache/olingo-odata4,101,117,2853,1895,https://github.com/apache/olingo-odata4.git,bc6a299a1f940165ca5633a9a805a9b176f2bab2,master,99.89813573606402
SonarSource/sonarlint-core,101,115,847,1103,https://github.com/SonarSource/sonarlint-core.git,0c83870dface0efdc87af6808d4e63fa8a1ca10a,master,62.09015533413363
codice/ddf,101,114,5678,11042,https://github.com/codice/ddf.git,a396daa8f1c26d4fd5a3784fbeddfef131e7f447,master,86.8133179042462
eclipse-ee4j/grizzly,101,113,590,149,https://github.com/eclipse-ee4j/grizzly.git,8bf950d8ccefc050e82bcc5019d6ab963117c356,master,99.9803783269271
EngineHub/CommandHelper,101,111,843,4375,https://github.com/EngineHub/CommandHelper.git,eeeb42d58675dd5cab57a2dc40315978643aaa10,master,90.55746924607074
FraunhoferIOSB/FROST-Server,101,111,415,1160,https://github.com/FraunhoferIOSB/FROST-Server.git,f701eff7dcd916dadc3624e6c944405321452a4e,master,99.02586377331151
wso2/carbon-apimgt,101,109,1335,34231,https://github.com/wso2/carbon-apimgt.git,526828e8f6733fd5afb1ee8d11895f8caefa78d1,master,86.11982463340249
tushartushar/DesigniteJava,101,109,153,288,https://github.com/tushartushar/DesigniteJava.git,9962de71566d7150dcf84caa0d5a01bc8621183a,master,100.0
snowflakedb/snowflake-jdbc,101,105,619,1152,https://github.com/snowflakedb/snowflake-jdbc.git,1a216bc3865fc0e3cc5b8d985d73b64eea589a48,master,98.71513570143708
ecsec/open-ecard,101,105,418,2172,https://github.com/ecsec/open-ecard.git,e605b097231f8c8d08c95aedd845f6f6d2f9eef0,master,96.99379176056216
apache/roller,101,102,130,4684,https://github.com/apache/roller.git,2340d7b58585006c41088080bd1537401519f1fb,master,96.6756820480715
