date, value
2021-03-30 19:52, 11558
2021-03-30 16:29, 11762
2021-03-29 22:48, 11761
2021-03-29 12:36, 11558
2021-03-27 07:00, 10635
2021-03-25 15:23, 11554
2021-03-24 19:23, 11552
2021-03-24 00:08, 11720
2021-03-23 19:50, 10630
2021-03-23 13:05, 10627
2021-03-22 13:44, 11548
2021-03-19 03:50, 11711
2021-03-18 07:29, 11689
2021-03-17 23:38, 11676
2021-03-17 15:02, 11540
2021-03-17 13:40, 11663
2021-03-17 11:31, 11539
2021-03-17 07:44, 11662
2021-03-16 19:43, 11538
2021-03-16 16:19, 10617
2021-03-16 13:54, 11661
2021-03-16 13:54, 11661
2021-03-16 13:54, 11661
2021-03-16 11:05, 11663
2021-03-16 07:29, 11664
2021-03-15 08:22, 11538
2021-03-15 08:22, 11538
2021-03-15 07:34, 11662
2021-03-13 01:49, 11662
2021-03-11 11:12, 10616
2021-03-11 09:40, 11537
2021-03-10 17:12, 11537
2021-03-10 12:14, 11658
2021-03-09 18:02, 11657
2021-03-09 09:25, 10616
2021-03-08 07:47, 11535
2021-03-05 17:42, 11535
2021-03-05 15:06, 11533
2021-03-05 12:49, 10613
2021-03-05 10:12, 10612
2021-03-04 18:54, 11529
2021-03-03 16:43, 11524
2021-03-01 21:22, 11524
2021-03-01 08:48, 11634
2021-02-27 10:33, 11629
2021-02-26 14:06, 11512
2021-02-25 18:03, 10598
2021-02-25 14:28, 11505
2021-02-25 13:51, 11505
2021-02-24 12:27, 11600
2021-02-22 22:51, 11598
2021-02-22 08:16, 11581
2021-02-19 00:22, 11581
2021-02-18 12:13, 11496
2021-02-18 11:18, 11496
2021-02-18 09:12, 10598
2021-02-17 23:26, 11504
2021-02-17 17:49, 11493
2021-02-17 16:40, 11534
2021-02-17 15:04, 10631
2021-02-17 13:57, 11524
2021-02-17 10:30, 11522
2021-02-16 13:33, 11518
2021-02-16 12:08, 10631
2021-02-16 11:09, 10626
2021-02-16 07:47, 10626
2021-02-15 13:01, 11513
2021-02-15 06:45, 11510
2021-02-15 05:55, 10626
2021-02-12 14:34, 11526
2021-02-12 12:37, 10626
2021-02-12 12:02, 11509
2021-02-12 12:02, 11509
2021-02-12 10:06, 11525
2021-02-12 10:06, 11525
2021-02-12 09:28, 10626
2021-02-12 09:28, 10626
2021-02-11 10:20, 10625
2021-02-10 19:05, 10625
2021-02-10 12:10, 11522
2021-02-10 00:48, 11501
2021-02-10 00:39, 10623
2021-02-09 14:25, 11521
2021-02-09 08:49, 11497
2021-02-05 14:00, 11497
2021-02-04 01:47, 11495
2021-02-02 06:10, 10623
2021-02-02 00:20, 10623
2021-01-31 01:57, 11519
2021-01-30 20:34, 11491
2021-01-29 02:56, 11515
2021-01-29 01:59, 10623
2021-01-28 09:26, 11486
2021-01-28 09:02, 10623
2021-01-27 01:38, 11484
2021-01-26 14:04, 10623
2021-01-22 14:59, 11511
2021-01-22 10:50, 11481
2021-01-21 14:32, 11481
2021-01-21 12:30, 11481
2021-01-20 14:02, 11493
2021-01-20 09:22, 11493
2021-01-20 08:15, 11493
2021-01-20 08:14, 11493
2021-01-20 08:14, 11493
2021-01-19 15:50, 11493
2021-01-18 16:06, 10623
2021-01-18 13:31, 11485
2021-01-15 15:51, 11482
2021-01-15 09:30, 11523
2021-01-15 01:25, 11523
2021-01-14 17:30, 11507
2021-01-14 08:04, 11522
2021-01-14 07:38, 10623
2021-01-14 00:23, 11507
2021-01-13 16:50, 11506
2021-01-13 01:38, 11521
2021-01-12 19:48, 11504
2021-01-12 16:03, 11502
2021-01-12 14:01, 11500
2021-01-12 13:18, 9583
2021-01-12 09:10, 11500
2021-01-12 08:55, 10621
2021-01-11 22:21, 10621
2021-01-11 15:29, 11496
2021-01-11 10:36, 10621
2021-01-11 08:20, 11496
2021-01-08 15:32, 10621
2021-01-08 07:35, 11494
2021-01-07 01:40, 11490
2021-01-07 00:58, 9583
2021-01-06 20:34, 11496
2021-01-06 07:58, 11485
2021-01-06 00:02, 10614
2021-01-05 17:13, 11478
2021-01-04 20:25, 10610
2021-01-01 08:18, 11481
2020-12-23 15:08, 11481
2020-12-23 08:12, 11481
2020-12-22 11:32, 11487
2020-12-22 07:33, 11483
2020-12-21 09:26, 11479
2020-12-21 08:46, 11478
2020-12-19 01:27, 11478
2020-12-18 23:06, 11469
